Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Pulsar|Wilbur-Ellis Co. Seed Div., Spokane, WA.|Wilbur-Ellis Co. Seed Div., Spokane, WA.|Navy bean, uniform seed and stable performance; blooms and pods under leaf canopy vs. Michigan navies whose flowers are above and underneath, exhibits direct harvest capabilities, heat and moisture tolerant.|Seafarer, except flowers and blooms under canopy. PVP. 1981.||ctv, rust and f. root rot, bean common mosaic virus, bean yellow mosaic virus.|Navy type seed found in Red Mexican breeding line PVD545 (74221-B-B2-5-3-3-5-B), Cal. Proof #38 x Red Mexican UI#34.
Raven (B90222)|Michigan Agric. Exp. Stat. and USDA-ARS.||Black bean, upright type II indeterminate growth habit, mid-season, small flat seeded.|||BCMV (I and bc3 genes), alpha and alpha Brazilian races of anthracnose, rust (Ur-3 gene). Crop Sci. 34:1406-1407, 1994. 1994.|N84004/B85009.
Red Hawk (K90101)|Michigan Agric. Expt. Stn. and USDA-ARS.||dark red kidney bean with upright determinate Type I growth habit, full season maturity.|Montcalm in cooking and canning quality. Crop Sci. 38:280, 1998. 1997.||BCMV(I gene), anthracnose; immune to indigenous rust; tolerant to halo blight, common blight; susceptible to root rot.|Charlevoix/2*Montcalm.
Red Shellout|Univ. of New Hampshire, Durham.|Billy Helper Seed Co.|Productive bush plant, light-red flowers, red seeds, easy-shelling pods.|Scarlet Beauty.|wide. 1957|BCMV, leaf hopper damage.|red flowered selection from (Flash x P. multiflorous, White Runner) x Scarlet Beauty.
Redkloud|Cornell Univ., College of Agric., Dept. of Vegetable Crops, Ithaca, NY.||Light red kidney, type I growth habit, matures 2 to 3 weeks earlier than Red Kidney or Redkote in NYS.|||BCMV, moderate resistance to halo blight. 1973.|Light red kidney Redkote/Charlottetown (Yellow Eye).
Redkote (60-8208)|Cornell Univ., College of Agric., Dept. of Vegetable Crops, Ithaca, NY.||Light red kidney, type I growth habit, white flowers.|||BCMV (1, NY15 strains); moderate resistance to halo blight. 1966.|Great Northern #1/Red Kidney.
Remington (ROG123)|Rogers Seed Co., Nampa, Idaho.|Rogers Seed Co., Nampa, Idaho.|Pinto bean, type IIb growth habit, early maturity.|||rust, BCMV. 1996.|
RNK354 (RNK354)|Rogers Sandoz Seeds, Nampa, Idaho.|Rogers Sandoz Seeds, Nampa, Idaho.|Pinto bean seed; good seed size, shape, and color; vigorous type IIIb plant habit; moderately late maturity.|||BCMV. 1994.|
Rocket (XPB185)|Asgrow Seed Co.|Asgrow Seed Co.|Mid-season navy bean.|||BCMV. 1987.|
ROG331|Novartis Seeds, Inc., Nampa, Idaho.||navy bean, Type IIb growth habit, medium-late maturity, resistant to BCMV (I gene). 1999.||||
